mood,categoly,recipe,color,url,color1,color2,color3,weight1,weight2,weight3
"""だます、装う"",",イワシ,"お弁当のおかずにも”いわしの甘露煮”",灰・茶,http://recipe.rakuten.co.jp/recipe/1390000241/,#887938,#7D7D7D,#404048,45,35,30
"""におい"",",コーンスープ,コーンクリーム缶de時短♪簡単コーンスープ ,黄,http://recipe.rakuten.co.jp/recipe/1570008189/,#FCF16E,#C5956B,#f7fcfe,50,35,15
"""愛する、好む"",",サクラエビ,崩れない☆サクサク小エビと玉ねぎのかき揚げ,ピンク・黄,http://recipe.rakuten.co.jp/recipe/1330005557/,#E95295,#FFEC47,#98D98E,55,30,15
"""安らぐ、くつろぐ"",",和え物,ホウレン草の胡麻和え,緑,http://recipe.rakuten.co.jp/recipe/1050000801/,#AACF53,#2E7E16,#EDE4CD,50,45,5
"""威張る、誇る"",",トマト,トマトとモッツァレラチーズのカプレーゼ ,赤・白・緑,http://recipe.rakuten.co.jp/recipe/1410000639/,#C04D21,#FFFFF1,#2E7E16,70,25,5
"""意地、こだわり"",",ハンバーグ,手抜き簡単☆シンプルなジューシーハンバーグ♪,茶,http://recipe.rakuten.co.jp/recipe/1300009618/,#B4532A,#57462B,#FFFEF2,45,40,15
"""慰める、心配する"",",煮物,ご飯が進む☆鶏もも肉と大根の照り煮,茶・白,http://recipe.rakuten.co.jp/recipe/1360003502/,#EDE4CD,#B19A00,#513743,40,35,25
"""我慢"",",ハンバーグ,手抜き簡単☆シンプルなジューシーハンバーグ♪,茶,http://recipe.rakuten.co.jp/recipe/1300009618/,#B4532A,#57462B,#FFFEF2,45,40,15
"""回顧"",",コーンスープ,コーンクリーム缶de時短♪簡単コーンスープ ,黄,http://recipe.rakuten.co.jp/recipe/1570008189/,#FCF16E,#C5956B,#f7fcfe,50,35,15
"""快感"",",酢の物,食用菊の酢の物,ピンク,http://recipe.rakuten.co.jp/recipe/1180003982/,#FFFFFC,#E198B4,#F8F4E6,50,45,5
"""悔やむ、惜しむ"",",タイカレー,具だくさん☆本格的タイのグリーンカレー,白・赤,http://recipe.rakuten.co.jp/recipe/1200005131/,#D6E9CA,#FFFFFC,#E60033,55,40,5
"""覚醒"",",ソフトドリンク,スペシャルノンアルコールカクテル☆チャイナブルー ,青,http://recipe.rakuten.co.jp/recipe/1790003655/,#38A1DB,#83CCD2,#EAF4FC,50,40,10
"""感覚"",",ブロッコリー,大人の味☆ブロッコリーのガーリック炒め,緑・ピンク・赤,http://recipe.rakuten.co.jp/recipe/1360000196/,#00793D,#8AC75A,#F9AE94,40,35,25
"""感謝、謝罪"",",カレー,絶品！ドライカレー レシピ・作り方,白・茶・黄,http://recipe.rakuten.co.jp/recipe/1050010613/,#FFFFFC,#91453F,#F8B500,55,40,5
"""感動"",",トマト,トマトとモッツァレラチーズのカプレーゼ ,赤・白・緑,http://recipe.rakuten.co.jp/recipe/1410000639/,#C04D21,#FFFFF1,#2E7E16,70,25,5
"""間違い"",",ブロッコリー,大人の味☆ブロッコリーのガーリック炒め,緑・ピンク・赤,http://recipe.rakuten.co.jp/recipe/1360000196/,#00793D,#8AC75A,#F9AE94,40,35,25
"""喜ぶ、楽しい"",",バジル系パスタ,絶対美味しい！エビとアボカドのバジルパスタ レシピ・,緑・白,http://recipe.rakuten.co.jp/recipe/1000005088/,#D3E173,#84C98B,#f7fcfe,40,35,25
