mood,categoly,recipe,color,url,a,b,c,color1,color2,color3,weight1,weight2,weight3
"""我慢"",",ハンバーグ,手抜き簡単☆シンプルなジューシーハンバーグ♪,茶,http://recipe.rakuten.co.jp/recipe/1300009618/,,,,#B4532A,#57462B,#FFFEF2,45,40,15
,餃子,門外不出！簡単！激うま餃子 レシピ・作り方,白・茶,http://recipe.rakuten.co.jp/recipe/1550001072/,,,,,,,,,
"""決心、決意"",",カレー,絶品！ドライカレー レシピ・作り方,白・茶・黄,http://recipe.rakuten.co.jp/recipe/1050010613/,,,,#FFFFFC,#91453F,#F8B500,55,40,5
,グラタン,とろとろクリーミー☆マッシュポテトグラタン レシピ・,黄・白,http://recipe.rakuten.co.jp/recipe/1470002013/,,,,,,,,,
"""誇り、自信"",",から揚げ,カリッカリ♪我が家自慢の鶏の竜田揚げ レシピ・,茶・緑,http://recipe.rakuten.co.jp/recipe/1390024156/,,,,#FBCA4D,#BF783A,#67A70C,70,20,10
,コロッケ,これでマスター★基本のプロ級コロッケ レシピ,茶・白,http://recipe.rakuten.co.jp/recipe/1220001455/,,,,,,,,,
,シチュー,ルーなんていらない！簡単クリームシチュー,白・赤,http://recipe.rakuten.co.jp/recipe/1340000291/,,,,,,,,,
"""苦しむ、悩む"",",煮物,ご飯が進む☆鶏もも肉と大根の照り煮,茶・白,http://recipe.rakuten.co.jp/recipe/1360003502/,,,,#EDE4CD,#B19A00,#513743,40,35,25
,豆腐料理,ごはんに合う☆豆腐ステーキのきのこあんかけ ,茶・白,http://recipe.rakuten.co.jp/recipe/1580025968/,,,,,,,,,
,揚げ物,安ウマ！簡単！！　チキンナゲット レシピ・作り方,茶・白,http://recipe.rakuten.co.jp/recipe/1400000050/,,,,,,,,,
"""安らぐ、くつろぐ"",",和え物,ホウレン草の胡麻和え,緑,http://recipe.rakuten.co.jp/recipe/1050000801/,,,,#AACF53,#2E7E16,#EDE4CD,50,45,5
"""快感"",",酢の物,食用菊の酢の物,ピンク,http://recipe.rakuten.co.jp/recipe/1180003982/,,,,#FFFFFC,#E198B4,#F8F4E6,50,45,5
,なす,なすがとろける_簡単_焼きなすの煮びたし ,白・茶・緑,http://recipe.rakuten.co.jp/recipe/1010011230/,,,,,,,,,
,ニンジン,甘辛に炒めて簡単_人参のごま和え,オレンジ・白,http://recipe.rakuten.co.jp/recipe/1010011112/,,,,,,,,,
"""感動"",",トマト,トマトとモッツァレラチーズのカプレーゼ ,赤・白・緑,http://recipe.rakuten.co.jp/recipe/1410000639/,,,,#C04D21,#FFFFF1,#2E7E16,70,25,5
,小松菜,小松菜と人参のおひたし,緑・赤・黄いろ,http://recipe.rakuten.co.jp/recipe/1480005371/,,,,,,,,,
"""緊張"",",かぼちゃ,ホクホクのかぼちゃの煮物,黄・緑,http://recipe.rakuten.co.jp/recipe/1310005826/,,,,#E29956,#FFFEF2,#005931,75,20,5
,ブロッコリー,大人の味☆ブロッコリーのガーリック炒め,緑・ピンク・赤,http://recipe.rakuten.co.jp/recipe/1360000196/,,,,,,,,,
,ズッキーニ,簡単なズッキーニレシピ,黄・ピンク・紫,http://recipe.rakuten.co.jp/recipe/1960003409/,,,,,,,,,
,カリフラワー,カリフラワーと茹で卵のサラダ,白・緑,http://recipe.rakuten.co.jp/recipe/1490004558/,,,,,,,,,
"""媚びる、甘える"",",ミョウガ,なすとミョウガのナムル,白・紫・ピンク,http://recipe.rakuten.co.jp/recipe/1390013373/,,,,#DEF3DE,#5F414B,#B44C97,55,30,15
,唐辛子,万願寺とうがらしの甘辛煮,緑・茶,http://recipe.rakuten.co.jp/recipe/1700005963/,,,,,,,,,
,玉ねぎ,新玉ねぎの丸ごと肉詰め蒸し煮,白,http://recipe.rakuten.co.jp/recipe/1390011220/,,,,,,,,,
"""慌てる・焦る"",",ナポリタン,昔ながらのスパゲッティ★これぞ王道ナポリタン ,赤・緑,http://recipe.rakuten.co.jp/recipe/1720006898/,,,,#F47A44,#FAA755,#A9D159,50,40,10
"""喜ぶ、楽しい"",",バジル系パスタ,絶対美味しい！エビとアボカドのバジルパスタ レシピ・,緑・白,http://recipe.rakuten.co.jp/recipe/1000005088/,,,,#D3E173,#84C98B,#f7fcfe,40,35,25
,クリーム系パスタ,牛乳で簡単♪明太子クリームパスタ レシピ,ピンク・黒,http://recipe.rakuten.co.jp/recipe/1770001825/,,,,,,,,,
"""じっと見る"",",ペペロンチーノ,絶対にうまい！ペペロンチーノ レシピ・,白・赤,http://recipe.rakuten.co.jp/recipe/1050009078/,,,,#F3F47F,#A61017,#2E7E16,85,10,5
,ミートソース,お店の味★ミートソーススパゲッティー,オレンジ・白,http://recipe.rakuten.co.jp/recipe/1730003330/,,,,,,,,,
,和風パスタ,和風ツナパスタ ,白・黒,http://recipe.rakuten.co.jp/recipe/1780004473/,,,,,,,,,
"""驚く"",",梅,我が家の　酸っぱくない　甘めの梅干し,ピンク,http://recipe.rakuten.co.jp/recipe/1600002444/,,,,#F73B70,#E597B2,#FCE2C4,40,35,25
"""挨拶"",",わかめ,あっさり！わかめスープ,緑,http://recipe.rakuten.co.jp/recipe/1820011087/,,,,#2E7E16,#AACF53,#F6FBF6,45,40,15
"""困る"",",こんにゃく,あたりめが隠し味！玉こんにゃくの煮物！,灰色,http://recipe.rakuten.co.jp/recipe/1970002718/,,,,#A99E93,#785863,#FFFFF1,85,10,5
,かまぼこ,"おせちに蒲鉾の飾り切り”結び、菊水、手綱、バラ” レシピ・",ピンク,http://recipe.rakuten.co.jp/recipe/1390009589/,,,,,,,,,
,浅漬け,なすの浅漬け,紫,http://recipe.rakuten.co.jp/recipe/1660007532/,,,,,,,,,
"""許す"",",ヨーグルト,スノーケーキ,白,http://recipe.rakuten.co.jp/recipe/1360007908/,,,,#FFFFF1,#F9204D,#083A28,65,25,20
,チョコケーキ,生チョコケーキポロショコラ風,茶,http://recipe.rakuten.co.jp/recipe/1790006434/,,,,,,,,,
,おはぎ,もち米１００％でも冷めても柔らか♪簡単おはぎ ,黒,http://recipe.rakuten.co.jp/recipe/1330007741/,,,,,,,,,
,オレンジ,オレンジゼリー,オレンジ,http://recipe.rakuten.co.jp/recipe/1010011470/,,,,,,,,,
,プリン,自慢のなめらか焼きプリン ,黄・茶,http://recipe.rakuten.co.jp/recipe/1510006838/,,,,,,,,,
,ブルーベリー,ブルーベリースムージー,紫,http://recipe.rakuten.co.jp/recipe/1390013178/,,,,,,,,,
"""怒る、高ぶる"",",イチゴ,いちご好きのイチゴたっぷりタルト ,赤,http://recipe.rakuten.co.jp/recipe/1170007646/,,,,#DC143C,#691C2A,#FFD768,75,20,5
,卵,マッシュポテトとチーズのオムレツ,黄,http://recipe.rakuten.co.jp/recipe/1050011545/,,,,,,,,,
,卵,材料3つのあんかけ茶碗蒸し,黄・赤,http://recipe.rakuten.co.jp/recipe/1260005501/,,,,,,,,,
,かぼちゃ,うちのかぼちゃサラダ ,黄,http://recipe.rakuten.co.jp/recipe/1770011053/,,,,,,,,,
"""照れる"",",ごぼう,ごまドレッシングでごぼうサラダ ,白・オレンジ,http://recipe.rakuten.co.jp/recipe/1480005739/,,,,#EEBBCB,#F85CA2,#3EB370,50,45,5
"""怒る"",",肉,簡単♪やわらかローストビーフ レシピ,赤・茶,http://recipe.rakuten.co.jp/recipe/1630000473/,,,,#D7003A,#331818,#DEF3DE,60,25,15
,トマト,トマトのソテー！ふんわりトマトの卵とじ ,赤・黄,http://recipe.rakuten.co.jp/recipe/1390012471/,,,,,,,,,
